id_centro,contexto,mean,sd,is_significant
727,Quintil 4,0.08359553228651931,0.2711069194652023,0
738,Quintil 5,0.22755518180767195,0.24129536564588863,0
740,Quintil 5,-0.1028837344200065,0.2003310038699217,0
742,Quintil 4,-0.031201027482548913,0.27932963497223134,0
751,Quintil 1,-0.03869389716191902,0.2914463348530199,0
770,Quintil 3,-0.14461312990977082,0.2603712560091406,0
786,Quintil 4,0.03454288411362324,0.23580976247461596,0
793,Quintil 1,0.054008829952365583,0.2706373336022768,0
794,Quintil 1,-0.06951959561760888,0.27140900498124243,0
801,Quintil 1,-0.06262256493258647,0.28834585548247804,0
824,Quintil 1,-0.007809563869537327,0.27360138838172865,0
828,Quintil 5,-0.054408020162069366,0.20058296801060993,0
829,Quintil 3,-0.24340173883368021,0.2270186050951732,-1
838,Quintil 2,-0.22945182203789471,0.24550095491948176,0
870,Quintil 3,-0.0505672283799895,0.24066389649107134,0
871,Quintil 2,-0.0025323566253378734,0.2841240077162124,0
872,Quintil 1,-0.1296376743159772,0.25955724394545926,0
876,Quintil 1,-0.015838443468754324,0.27707188648699005,0
884,Quintil 2,-0.047742851804484704,0.24567807340384348,0
904,Quintil 4,-0.00618412606567106,0.24738683362176492,0
916,Quintil 1,-0.1353737840342245,0.26585658882734864,0
948,Quintil 2,-0.19708958533221968,0.20630250129872763,0
968,Quintil 3,0.023794825808579875,0.23827843365583617,0
973,Quintil 1,0.18815210996653464,0.2568343624505995,0
983,Quintil 3,0.08968433889980654,0.27672490306585484,0
988,Quintil 1,-0.03197232679194256,0.26947647248464784,0
991,Quintil 2,0.28746296666235427,0.24579497701960923,1
1003,Quintil 5,0.12045649984511567,0.22278873094828028,0
1024,Quintil 4,-0.05511488111072346,0.25928209144624886,0
1029,Quintil 4,-0.05187799514381121,0.27335283438688945,0
1041,Quintil 1,0.0739879758656911,0.24539330089985714,0
1060,Quintil 2,0.02356829134160718,0.27901807017902647,0
1061,Quintil 4,0.1803989634731158,0.2614527582192699,0
1074,Quintil 4,-0.008740594061993994,0.22974209729166992,0
1089,Quintil 2,-0.09981524974634487,0.2719300327197531,0
1100,Quintil 1,-0.0165599284469879,0.28968107636900187,0
1168,Quintil 3,0.017823020103615167,0.2692034095870419,0
1179,Quintil 5,-0.04476015015201891,0.25860081093733656,0
1187,Quintil 5,0.22086610233455672,0.26853624873435034,0
1198,Quintil 3,0.0038552921751682134,0.2293400088879824,0
1201,Quintil 4,-0.16997128237046985,0.20541683170534386,0
1202,Quintil 4,0.2503410678150626,0.20649086506126232,1
1203,Quintil 5,-0.06316443081608815,0.27714177957880076,0
1208,Quintil 4,-0.03562151162586683,0.21626107224959845,0
1209,Quintil 5,0.12127966597090205,0.23179109423748312,0
1211,Quintil 4,0.05754786890775168,0.2460047401418037,0
1213,Quintil 5,-0.07239106963186186,0.20892573307924298,0
1216,Quintil 5,0.03212461560796529,0.19590133046516645,0
1219,Quintil 5,-0.09803622241558248,0.22914084419232073,0
1221,Quintil 2,0.23016148967424374,0.21494138555571252,1
1222,Quintil 4,0.01894947696740871,0.21041211365380832,0
1226,Quintil 2,-0.21059180129759697,0.2432607899888306,0
1232,Quintil 5,0.18197358372003156,0.1919090416757377,0
1236,Quintil 5,-0.12974682193101142,0.2422863371373437,0
1237,Quintil 5,-0.35144160345658204,0.26404146707466525,-1
1241,Quintil 1,-0.044562456881119344,0.28515588206874015,0
1242,Quintil 5,-0.062049638040010464,0.28404240547317444,0
1243,Quintil 1,-0.025394577154029523,0.29182592315841727,0
1248,Quintil 5,-0.12509184937365608,0.23795834290240533,0
1252,Quintil 2,-0.2535710360761767,0.2362230371495315,-1
1258,Quintil 1,-0.023015929503339784,0.26488726487919767,0
1259,Quintil 1,0.19407735157733824,0.23576918659805982,0
1260,Quintil 5,-0.002931153062435125,0.19225692727966706,0
1261,Quintil 4,-0.023622851891203323,0.2775709438687337,0
1263,Quintil 3,-0.034472840921753976,0.2692777761073393,0
1265,Quintil 3,0.06514779838708343,0.22327164401386448,0
1270,Quintil 1,-0.0321562117526016,0.27071150229972857,0
1272,Quintil 1,-0.1688915881946806,0.24932610733973534,0
1319,Quintil 5,-0.03131960819016289,0.2728894694762341,0
1321,Quintil 2,-0.19029023240973456,0.2347609227222489,0
1322,Quintil 5,0.09890733991370741,0.2106782341026528,0
1325,Quintil 5,0.11061447921570275,0.20276811075200804,0
1358,Quintil 2,0.10809652891936519,0.26942085023779655,0
1372,Quintil 2,0.0399960710953854,0.28362570866659803,0
1389,Quintil 5,0.2104670254467144,0.239623294545313,0
1390,Quintil 5,-0.2517511323509139,0.2446144667268978,-1
1398,Quintil 2,0.005365465474443352,0.27467656422774206,0
1415,Quintil 2,-0.041437247149984854,0.2665416104186004,0
1509,Quintil 1,-0.0912921418581731,0.2703384639230368,0
1517,Quintil 2,0.15868860877202168,0.2431113314686148,0
1521,Quintil 5,-0.21955806418850016,0.22850190548316215,0
1525,Quintil 4,0.3437422523500095,0.2161319930784472,1
1526,Quintil 3,-0.23131057780161982,0.22641787797511956,-1
1544,Quintil 5,0.1661265422815786,0.22688524041834524,0
1555,Quintil 5,-0.1600252402746173,0.22461586975730355,0
1557,Quintil 4,0.05359407612918751,0.20167451305171472,0
1613,Quintil 4,-0.004170003119636303,0.2781294588445774,0
1643,Quintil 4,0.07847866533731154,0.2892596982416518,0
1658,Quintil 5,-0.05801061154638252,0.2430298867295551,0
1663,Quintil 3,-0.17605374403678184,0.2772935124747389,0
1667,Quintil 4,-0.05906642011319433,0.26199789079462915,0
1748,Quintil 5,-0.051660775965995276,0.26788774241816016,0
1762,Quintil 3,-0.26330636156764514,0.2507770754178594,-1
1786,Quintil 5,0.09190150049438318,0.21959841589722737,0
1814,Quintil 3,0.1443555436903811,0.2715852786417659,0
1822,Quintil 4,0.25925504055472975,0.2453852602120404,1
1830,Quintil 4,-0.1827305929195248,0.23613379283149274,0
1849,Quintil 4,-0.03362935921281047,0.28456363248026556,0
1897,Quintil 5,-0.11414996396290861,0.25938600694626723,0
1943,Quintil 1,-0.056542759816076454,0.2969344282665276,0
2005,Quintil 3,-0.15504970125115444,0.23665648873429707,0
2007,Quintil 4,0.12828356647356676,0.24719803967186624,0
2026,Quintil 4,0.1705398558609123,0.2533904553427177,0
2066,Quintil 4,-0.12558237824188664,0.20521782786832213,0
2079,Quintil 1,0.09270871938262014,0.2565553958364234,0
2085,Quintil 5,0.3100696934556054,0.23917495025822355,1
2099,Quintil 3,0.39877761527167915,0.2628435671092774,1
2104,Quintil 4,-0.06017737884809227,0.2804905486048422,0
2116,Quintil 3,0.043714603708421416,0.23014681437928927,0
2119,Quintil 1,-0.027157145999644076,0.2894328356580216,0
2125,Quintil 3,-0.121914048663747,0.25846622190853746,0
2135,Quintil 3,0.12929846336969,0.2669769714711158,0
2142,Quintil 1,0.044903988109210785,0.27829797312022864,0
2180,Quintil 2,-0.025701714235374064,0.22306631076247727,0
2186,Quintil 1,-0.03557758438652566,0.2795059100394616,0
2187,Quintil 3,-0.19267263663293172,0.26256808900243195,0
2190,Quintil 1,0.14755517057709003,0.2467489077609938,0
2191,Quintil 3,0.05529659947418799,0.23172080043017323,0
2209,Quintil 4,-0.1270170149801807,0.25653575041668547,0
2220,Quintil 3,0.3584399762564799,0.23418592167505217,1
2229,Quintil 5,0.3009989537393572,0.24502459636434226,1
2234,Quintil 4,-0.2834094070710211,0.2384668653514575,-1
2236,Quintil 3,-0.1962542174458686,0.24505069379152505,0
2254,Quintil 5,0.003500628853147644,0.2517552873941951,0
2282,Quintil 5,-0.14233483622538234,0.2403765605209215,0
2287,Quintil 3,0.11599026563556032,0.26229693901622964,0
2301,Quintil 1,0.10021050227517268,0.2804841950325833,0
2303,Quintil 2,-0.07605857619885807,0.2761491540787837,0
2315,Quintil 3,-0.009953138487295218,0.2867613328095429,0
2316,Quintil 2,-0.026376576452334485,0.2919285234546277,0
2322,Quintil 2,-0.10364740543887822,0.26834843861805496,0
2350,Quintil 1,0.0608780533288035,0.2672296953037045,0
2360,Quintil 1,-0.2952864169172997,0.2625381803845228,-1
2382,Quintil 5,-0.12756078749160693,0.23152430085363407,0
2384,Quintil 1,0.17464374355355236,0.21326124119325043,0
2387,Quintil 2,0.1362653497052489,0.28658351740444826,0
2393,Quintil 2,-0.027860434740480937,0.28619490529456154,0
2409,Quintil 2,0.21476984227540927,0.2568929634916523,0
2415,Quintil 5,0.15783219363462184,0.2649817281118807,0
2423,Quintil 5,-0.02237799015635479,0.20695508550279487,0
